ParName   Value   Gradient
selparm[3]      4.11563 -3.48534e-007
selparm[4]      -3.8895 2.39878e-009
selparm[5]     -4.50996 -2.06621e-007
selparm[6]      1.81957 1.97271e-008
selparm[7]      13.0375 7.76663e-006
selparm[8]     -5.38506 3.75407e-008
selparm[9]    -0.592411 -1.07446e-006
selparm[10]      3.60204 -2.90907e-007
selparm[11]    -0.249909 1.43427e-010
selparm[12]     -5.30623 6.89075e-009
selparm[13]      2.42807 4.06965e-006
selparm[14]     0.889578 -1.54164e-007
selparm[15]      3.88721 -2.89868e-006
selparm[16]      1.80274  2.9992e-007
selparm[17]      4.25913 2.71638e-006
selparm[18]     0.204153 -6.80209e-007
selparm[19]     0.791767 -4.5533e-006
selparm[20]     -2.18089 9.07055e-010
selparm[21]     -13.8708 -1.29088e-009
selparm[22]     0.576915 1.33504e-010
selparm[29]      2.58262 -7.34655e-007
selparm[30]     0.927243 4.02119e-008
selparm[31]      4.13374 -4.86002e-006
selparm[32]      1.59317 8.24279e-007
